id,count_of_days_in_reporting_period,count_of_days_in_system,count_of_scheduled_days,count_of_days_with_appointments,count_of_days_of_afterhours_activity,count_of_minutes_active_on_unscheduled_days,count_of_minutes_in_the_system,minutes_in_clinical_review_per_appointment,minutes_in_in_basket_per_appointment,minutes_in_notes_letters_per_appointment,minutes_in_orders_per_appointment,minutes_in_clinical_review_per_day,count_of_appointments,scheduled_hours_per_day,count_of_minutes_active_outside_7am_to_7pm,count_of_minutes_active_outside_scheduled_time_30_min_buffer,minutes_active_on_unscheduled_days_per_day,percent_of_minutes_on_sunday,minutes_in_other_per_day,count_of_sunday_minutes,percent_of_minutes_on_saturday,count_of_saturday_minutes,count_of_in_basket_minutes,minutes_in_in_basket_per_day,count_of_patient_call_messages_received,count_of_patient_call_messages_incomplete,count_of_patient_call_messages_completed,messages_received_per_day_patient_calls,average_days_until_patient_call_messages_marked_done,count_of_patient_medical_advice_requests_messages_completed,count_of_patient_medical_advice_requests_messages_incomplete,count_of_patient_medical_advice_requests_messages_received,messages_received_per_day_patient_medical_advice_request,average_days_until_patient_medical_advice_request_message_marked_done,count_of_result_messages_completed,count_of_result_messages_incomplete,count_of_result_messages_received,messages_received_per_day_results,average_days_until_result_message_marked_done,count_of_rx_auth_messages_incomplete,count_of_rx_auth_messages_received,messages_received_per_day_rx_auth,average_days_until_rx_auth_message_marked_done,total_messages_received,total_messages_completed,total_messages_incomplete,message_completion_rate,avg_days_to_complete,total_weekend_minutes,percent_weekend_minutes,afterhours_ratio,afterhours_minutes_ratio,minutes_per_appointment,unscheduled_minutes_ratio,outside_hours_ratio,inbox_minutes_per_day,inbox_minutes_per_message,inbox_minutes_per_appointment,appointments_per_day,scheduled_utilization
RF_67647868,364,189,125,125,53,3643,21065,57.4,106.9,294.4,51.3,133.1,378,32,2259,7434,656.1,0.2,64.2,508.3,0.30000000000000004,872.3,3985,261,63,19,53,4,49.9,270,13,279,19,24.4,3,0,2,0.2,39.4,63,63,3.8,11.200000000000001,407,326,95,0.7743467933491687,31.224999999999998,1380.6,0.25,0.2804232804232804,0.10723949679563256,55.72751322751323,0.17294089722288156,0.10723949679563256,31.88,9.791154791154792,10.542328042328043,3.024,0.0911464514597674
MD_67668012,364,254,216,216,11,374,11333,19.1,38.6,123.6,8.2,42.1,680,38,19,2840,74.4,0,21.5,20.2,0,2.6,1981,94,25,12,22,0,168.4,47,20,63,3,144.7,1,0,1,0.1,0.8,0,0,0,0,89,70,32,0.6862745098039216,78.475,22.8,0,0.04330708661417323,0.0016765198976440483,16.666176470588237,0.033000970616782845,0.0016765198976440483,9.171296296296296,22.258426966292134,2.913235294117647,3.1481481481481484,0.2011823877172858
MD_67671272,28,7,3,3,0,0,181,0,0,0,0,2.1,12,2,0,0,0,0,0.9,0,0,0,2,0.3,0,0,0,0,0,2,0,2,0.3,0.1,0,0,0,0,0,0,0,0,0,2,2,0,1,0.025,0,0,0,0,15.083333333333334,0,0,0.6666666666666666,1,0.16666666666666666,4,0.6629834254143646
MD_67671796,364,217,120,120,49,3052,16417,32.2,76,248,53.5,61.2,389,24,1195,3692,390.6,0.5,58,687.8,0.2,435.9,2617,144.5,274,25,257,15,46.3,119,10,127,7,27.7,33,2,29,1.6,30.2,733,733,40.4,4.3,1163,409,770,0.3469041560644614,27.125,1123.6999999999998,0.35,0.22580645161290322,0.0727904001949199,42.203084832904885,0.18590485472376195,0.0727904001949199,21.808333333333334,2.250214961306965,6.727506426735219,3.2416666666666667,0.08771395504659804
MD_67692900,336,227,121,121,11,6206,22045,27.1,63.9,195.4,26.7,79.8,713,47,204,1625,646.3,0.1,47.2,375,0.2,480.8,3960,191.8,167,5,166,7,8.1,628,31,656,32.5,6.5,543,0,489,23.1,27,35,35,1.8,4.2,1347,1337,71,0.9495738636363636,11.45,855.8,0.15000000000000002,0.048458149779735685,0.00925379904740304,30.91865357643759,0.2815150827852121,0.00925379904740304,32.72727272727273,2.939866369710468,5.553997194950911,5.892561983471074,0.12792016330233613
RF_67725036,364,204,111,111,7,1745,12537,25.8,51.9,138.5,27.1,65.8,446,43,164,1420,199.8,0.1,78.5,228.3,0.1,233.1,2032,119.5,83,7,86,4,16.9,284,11,285,18.2,8.1,20,1,19,1.1,18.9,58,58,3.6,3.9,445,390,77,0.8351177730192719,11.95,461.4,0.1,0.03431372549019608,0.013081279412937704,28.109865470852018,0.13918800350961155,0.013081279412937704,18.306306306306308,4.5662921348314605,4.556053811659193,4.018018018018018,0.20579085905719072
MD_67751308,364,281,181,181,69,5412,48020,63,41.1,292.1,23.5,271.6,1226,53,1412,5726,650,0,90.4,1391.3,0,219.2,4096,176.5,117,7,110,3,7.1,622,34,653,27.3,5.2,1134,2,994,41.9,19.5,38,38,1.8,0.3,1802,1866,81,0.9583975346687211,8.025,1610.5,0,0.24555160142348753,0.02940441482715535,39.168026101141926,0.1127030403998334,0.02940441482715535,22.629834254143645,2.2730299667036626,3.34094616639478,6.773480662983426,0.06622240733027905
MD_67751676,364,147,130,130,2,334,8826,10.5,21.1,70.3,21.3,51.3,729,53,5,141,170.3,0,31.1,10.2,0,8.6,1280,103,171,23,155,13,69.10000000000001,212,15,217,17.7,48,77,3,67,5.6,348.4,45,45,3.6,5.8,500,444,86,0.8377358490566038,117.825,18.799999999999997,0,0.013605442176870748,5.665080444142307e-4,12.106995884773662,0.03784273736687061,5.665080444142307e-4,9.846153846153847,2.56,1.755829903978052,5.607692307692307,0.3602991162474507
RF_67752116,364,230,162,162,18,2992,18473,74.3,54.4,218,22.1,157.2,440,27,957,5952,553.4,0.4,65.2,721.1999999999999,0.1,93.9,2138,113.6,68,9,62,1,12.9,102,11,109,6,31.7,78,4,63,3.1,73.60000000000001,38,38,2.1,2.3,278,242,62,0.7960526315789473,30.125000000000004,815.0999999999999,0.25,0.0782608695652174,0.05180533751962323,41.98409090909091,0.16196611270502898,0.05180533751962323,13.197530864197532,7.690647482014389,4.859090909090909,2.7160493827160495,0.08769555567585124
RF_67756268,364,246,126,126,53,5710,25512,85.5,90.4,390.7,44.7,143.2,449,39,1577,5668,528.1,0.30000000000000004,104,828.3,0,223.79999999999998,3107,153.1,107,7,102,4,10.7,78,7,83,4.2,5.5,261,0,230,10.7,28.5,41,41,2.1,1.3,461,441,55,0.8891129032258065,11.5,1052.1,0.15000000000000002,0.21544715447154472,0.06181404829100031,56.8195991091314,0.2238162433364691,0.06181404829100031,24.658730158730158,6.739696312364425,6.919821826280623,3.5634920634920637,0.09172154280338664
