id,count_of_days_in_reporting_period,count_of_days_in_system,count_of_scheduled_days,count_of_days_with_appointments,count_of_days_of_afterhours_activity,count_of_minutes_active_on_unscheduled_days,count_of_minutes_in_the_system,minutes_in_clinical_review_per_appointment,minutes_in_in_basket_per_appointment,minutes_in_notes_letters_per_appointment,minutes_in_orders_per_appointment,minutes_in_clinical_review_per_day,count_of_appointments,scheduled_hours_per_day,count_of_minutes_active_outside_7am_to_7pm,count_of_minutes_active_outside_scheduled_time_30_min_buffer,minutes_active_on_unscheduled_days_per_day,percent_of_minutes_on_sunday,minutes_in_other_per_day,count_of_sunday_minutes,percent_of_minutes_on_saturday,count_of_saturday_minutes,count_of_in_basket_minutes,minutes_in_in_basket_per_day,count_of_patient_call_messages_received,count_of_patient_call_messages_incomplete,count_of_patient_call_messages_completed,messages_received_per_day_patient_calls,average_days_until_patient_call_messages_marked_done,count_of_patient_medical_advice_requests_messages_completed,count_of_patient_medical_advice_requests_messages_incomplete,count_of_patient_medical_advice_requests_messages_received,messages_received_per_day_patient_medical_advice_request,average_days_until_patient_medical_advice_request_message_marked_done,count_of_result_messages_completed,count_of_result_messages_incomplete,count_of_result_messages_received,messages_received_per_day_results,average_days_until_result_message_marked_done,count_of_rx_auth_messages_incomplete,count_of_rx_auth_messages_received,messages_received_per_day_rx_auth,average_days_until_rx_auth_message_marked_done,total_messages_received,total_messages_completed,total_messages_incomplete,message_completion_rate,avg_days_to_complete,total_weekend_minutes,percent_weekend_minutes,afterhours_ratio,afterhours_minutes_ratio,minutes_per_appointment,unscheduled_minutes_ratio,outside_hours_ratio,inbox_minutes_per_day,inbox_minutes_per_message,inbox_minutes_per_appointment,appointments_per_day,scheduled_utilization
RF_622351172,364,226,85,85,21,317,8657,6.8,5.699999999999999,38.7,5.5,40.7,203,27,543,500,29.1,0.30000000000000004,74.8,379.40000000000003,0.2,228.2,808,39.6,27,19,12,0,97.60000000000001,42,9,45,2.4,42.2,6,4,6,0.4,127.8,12,12,0.7000000000000001,0,90,60,44,0.5769230769230769,66.9,607.6,0.25,0.09292035398230089,0.06272380732355319,42.645320197044335,0.036617765969735476,0.06272380732355319,9.505882352941176,8.977777777777778,3.980295566502463,2.388235294117647,0.18713180085479958
RF_622351176,364,178,67,67,11,195,6394,1.9,6.1,13,2,39.6,188,36,192,18,16.3,0.6000000000000001,58.800000000000004,254.1,0.30000000000000004,153.6,1013,67.9,38,5,33,2,6,143,7,149,10.700000000000001,7.6,154,4,147,9.9,14.9,38,38,2.6,4.8999999999999995,372,330,54,0.859375,8.35,407.7,0.45000000000000007,0.06179775280898876,0.030028151391929936,34.01063829787234,0.03049734125742884,0.030028151391929936,15.119402985074627,2.7231182795698925,5.388297872340425,2.8059701492537314,0.33781670315921175
RF_622351180,336,105,43,43,5,0,1881,0,0,0,0,13.5,95,25,88,0,0,0.4,18,83.2,0.2,55.099999999999994,461,47,4,3,6,0,149.29999999999998,66,6,60,5.8,117.9,26,14,26,2.6,201.5,2,2,0.2,0,92,98,25,0.7967479674796748,117.175,138.3,0.30000000000000004,0.047619047619047616,0.04678362573099415,19.8,0,0.04678362573099415,10.720930232558139,5.010869565217392,4.852631578947369,2.2093023255813953,0.7974481658692185
RF_622351196,308,75,32,32,7,0,1123,0,0,0,0,5.7,41,13,65,0,0,0.9,30.5,88.1,0,2.1,375,45.2,1,0,1,0,2.4,18,0,15,3.3,11.2,16,1,14,1.8,52.1,1,1,0.1,0,31,35,2,0.9459459459459459,16.425,90.19999999999999,0.45,0.09333333333333334,0.0578806767586821,27.390243902439025,0,0.0578806767586821,11.71875,12.096774193548388,9.146341463414634,1.28125,0.6945681211041853
RF_622351200,364,246,128,128,23,2352,17401,41.6,44.6,232.4,34.4,86.9,401,29,353,2924,252.6,0.5,89.9,765.6,0.1,301.1,1782,88.7,87,14,82,3,101.4,302,37,335,16.7,43.1,51,22,61,3.2,124.7,214,214,11,24.1,697,435,287,0.6024930747922438,73.325,1066.7,0.3,0.09349593495934959,0.02028619044882478,43.394014962593516,0.13516464571001666,0.02028619044882478,13.921875,2.556671449067432,4.443890274314215,3.1328125,0.09999425320383887
RF_622351204,364,216,128,128,45,2639,13922,30.2,41.3,161.7,29,66.8,466,37,1182,2644,330.3,0.4,92.1,434.9,0,112.3,1648,89.3,70,9,63,2,16.3,239,26,261,13.6,11.3,10,0,9,0.7000000000000001,5.8,66,66,3.6,1,406,312,101,0.7554479418886199,8.6,547.1999999999999,0.2,0.20833333333333334,0.08490159459847724,29.875536480686694,0.189556098261744,0.08490159459847724,12.875,4.059113300492611,3.536480686695279,3.640625,0.1594598477230283
RF_622351208,364,195,64,64,4,0,6805,0,0,0,0,37.9,156,22,21,0,0,0.7,68,360.8,1,517.4,763,47.8,24,0,26,0,3.4,72,2,72,4.7,4.1,17,0,15,0.8,3.5,44,44,2.8,1.5,155,115,46,0.7142857142857143,3.125,878.2,0.85,0.020512820512820513,0.003085966201322557,43.62179487179487,0,0.003085966201322557,11.921875,4.922580645161291,4.891025641025641,2.4375,0.19397501836884642
MD_622368596,364,302,237,237,80,3149,38271,38.5,41.5,136.2,31.9,190,1495,47,1170,7551,524,0.4,98,1413.4,0.30000000000000004,964.6,5124,206.8,551,83,470,21,25.4,617,29,645,25.4,9.7,5,0,5,0.1,3.4,504,504,19.9,2.3,1705,1092,616,0.639344262295082,10.2,2378,0.35000000000000003,0.26490066225165565,0.030571450968095947,25.59933110367893,0.0822816231611403,0.030571450968095947,21.620253164556964,3.0052785923753667,3.4274247491638796,6.30801687763713,0.0736850356666928
NP_622401548,364,354,229,229,168,18895,101379,66.1,72.9,487.6,50.2,308.3,1686,57,8905,18740,1795.2,1.2000000000000002,71.6,8868.4,0.9,6079.3,10088,339.5,266,243,23,10,17.6,399,264,663,22.5,25.9,12,22,33,1.2,147.9,160,160,5.4,3.1,1122,434,689,0.38646482635796975,48.625,14947.7,1.05,0.4745762711864407,0.08783870426814232,60.129893238434164,0.18637982225115654,0.08783870426814232,44.05240174672489,8.99108734402852,5.983392645314353,7.362445414847161,0.0337347971473382
RF_622409368,63,39,9,9,4,0,1044,0,0,0,0,7.8,9,2,51,0,0,0.1,25.3,53.9,0.1,70.1,96,5.2,1,1,0,0,0,4,8,12,0.6000000000000001,1.6,0,1,1,0.1,0,1,1,0.1,0,15,4,11,0.26666666666666666,0.4,124,0.1,0.10256410256410256,0.04885057471264368,116,0,0.04885057471264368,10.666666666666666,6.4,10.666666666666666,1,0.1149425287356322
RF_622409372,91,32,8,8,0,0,888,0,0,0,0,8.4,8,3,0,0,0,0,25.4,8.1,0.3,48.9,50,6.2,0,0,0,0,0,1,0,1,0.1,1.5,0,0,0,0,0,0,0,0,0,1,1,0,1,0.375,57,0.15,0,0,111,0,0,6.25,50,6.25,1,0.2027027027027027
RF_622409420,126,83,26,26,7,0,2885,0,0,0,0,7.2,26,4,101,0,0,0.1,83.6,55,0,0,164,7.9,8,2,6,0,0.6,0,0,0,0,0,3,0,2,0.1,0.7,0,0,0,0,10,9,2,0.8181818181818182,0.32499999999999996,55,0.05,0.08433734939759036,0.035008665511265163,110.96153846153847,0,0.035008665511265163,6.3076923076923075,16.4,6.3076923076923075,1,0.08318890814558058
RF_622413292,364,186,111,111,4,2276,10423,19,46.4,124.30000000000001,30.3,46.1,342,28,86,1109,306.4,0.6,58.699999999999996,562.6,0.1,159.3,1766,112.7,68,13,57,3,40.8,265,21,282,20.3,21.6,13,2,11,0.8,50.199999999999996,87,87,6,9,448,335,123,0.7314410480349345,30.4,721.9000000000001,0.35,0.021505376344086023,0.008250983402091528,30.476608187134502,0.21836323515302697,0.008250983402091528,15.90990990990991,3.9419642857142856,5.16374269005848,3.081081081081081,0.16118200134318333
RF_622413296,364,226,119,119,62,3575,18270,40.6,61,299.2,27,85.4,358,31,1913,4582,381.5,0.5,69.4,1025.8999999999999,0,223.79999999999998,2162,111.3,35,3,34,0,26.6,183,19,200,10,15.299999999999999,15,1,12,0.8,65.10000000000001,56,56,2.9,3.2,303,232,79,0.7459807073954984,27.55,1249.6999999999998,0.25,0.2743362831858407,0.1047071702244116,51.03351955307262,0.1956759715380405,0.1047071702244116,18.168067226890756,7.135313531353136,6.039106145251397,3.008403361344538,0.10180623973727422
MD_622413432,364,239,214,214,21,1109,20712,33.3,40.1,78.2,31.6,150.9,1109,45,326,4577,422.09999999999997,0,114.5,131.29999999999998,0,33.1,3502,178.8,499,23,482,26,21,673,94,763,39.4,32.4,0,0,0,0,0,290,290,15.5,4.1,1552,1155,407,0.7394366197183099,14.375,164.39999999999998,0,0.08786610878661087,0.015739667825415218,18.676284941388637,0.05354383932020085,0.015739667825415218,16.364485981308412,2.256443298969072,3.157799819657349,5.182242990654205,0.13035921205098494
MD_622427852,364,269,233,233,6,1384,4623,1.5,5.8,20.9,3.1,6,1133,57,12,431,394.1,1.7000000000000002,20.1,702.2,1.2,502,513,23.3,15,13,2,0,0.8999999999999999,58,38,96,4.2,4.5,0,0,0,0,0,0,0,0,0,111,60,51,0.5405405405405406,1.35,1204.2,1.4500000000000002,0.022304832713754646,0.0025957170668397143,4.080317740511915,0.29937270170884706,0.0025957170668397143,2.2017167381974247,4.621621621621622,0.4527802294792586,4.8626609442060085,0.7397793640493187
