"Statistic","Raw Workload (Hours)","Normalized Workload (Hours/year)","Minimum","Maximum","Standard Deviation","Coefficient of Variation (%)"
"Mean",275.7,426.6,14.1,1689.7,266.5,96.7
"Median",220.4,381.2,64.1,1742.2,292.2,68.5
